ts,venue,slug,side,team,espn_event,kickoff,dk_ml,dk_prop,dk_pow,v_bid,v_ask,v_mid,v_spread_c,gap_prop_c,gap_pow_c,fee_coef
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-chi-car-2026-09-13,home,CAR,401872661,2026-09-13T17:00:00Z,124,0.4279,0.4232,0.595,0.6,0.4025,0.5,-2.54,-2.07,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-chi-car-2026-09-13,away,CHI,401872661,2026-09-13T17:00:00Z,-148,0.5721,0.5768,0.595,0.6,0.5975,0.5,2.54,2.07,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-buf-hou-2026-09-13,home,HOU,401872660,2026-09-13T17:00:00Z,-105,0.4892,0.4884,0.505,0.51,0.4925,0.5,0.33,0.41,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-buf-hou-2026-09-13,away,BUF,401872660,2026-09-13T17:00:00Z,-115,0.5108,0.5116,0.505,0.51,0.5075,0.5,-0.33,-0.41,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-gb-min-2026-09-13,home,MIN,401872927,2026-09-13T20:25:00Z,-122,0.5261,0.5278,0.465,0.47,0.5325,0.5,0.64,0.47,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-gb-min-2026-09-13,away,GB,401872927,2026-09-13T20:25:00Z,102,0.4739,0.4722,0.465,0.47,0.4675,0.5,-0.64,-0.47,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-ari-lac-2026-09-13,home,LAC,401872926,2026-09-13T20:25:00Z,-500,0.8,0.8195,0.18,0.185,0.8175,0.5,1.75,-0.2,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-ari-lac-2026-09-13,away,ARI,401872926,2026-09-13T20:25:00Z,380,0.2,0.1805,0.18,0.185,0.1825,0.5,-1.75,0.2,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-mia-lv-2026-09-13,home,LV,401872928,2026-09-13T20:25:00Z,-185,0.6225,0.6304,0.37,0.375,0.6275,0.5,0.5,-0.29,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-mia-lv-2026-09-13,away,MIA,401872928,2026-09-13T20:25:00Z,154,0.3775,0.3696,0.37,0.375,0.3725,0.5,-0.5,0.29,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-was-phi-2026-09-13,home,PHI,401872929,2026-09-13T20:25:00Z,-218,0.6575,0.6677,0.315,0.32,0.6825,0.5,2.5,1.48,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-was-phi-2026-09-13,away,WSH,401872929,2026-09-13T20:25:00Z,180,0.3425,0.3323,0.315,0.32,0.3175,0.5,-2.5,-1.48,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-dal-nyg-2026-09-13,home,NYG,401872930,2026-09-14T00:20:00Z,136,0.4066,0.4007,0.6,0.605,0.3975,0.5,-0.91,-0.32,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-dal-nyg-2026-09-13,away,DAL,401872930,2026-09-14T00:20:00Z,-162,0.5934,0.5993,0.6,0.605,0.6025,0.5,0.91,0.32,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-den-kc-2026-09-14,home,KC,401872931,2026-09-15T00:15:00Z,-148,0.5721,0.5768,0.43,0.435,0.5675,0.5,-0.46,-0.93,0.06
2026-09-07T23:57:18+00:00,polymarket_us,aec-nfl-den-kc-2026-09-14,away,DEN,401872931,2026-09-15T00:15:00Z,124,0.4279,0.4232,0.43,0.435,0.4325,0.5,0.46,0.93,0.06
